nicho;fabricante;categoria;nome;descricao;dica_uso;tags;posicionamento
Salão de Beleza;Wella;Shampoo;Fusion Intense Repair 250ml;Reparação capilar de alta performance.;Aplique nos fios úmidos e massageie.;wella fusion reconstrução;Premium
Salão de Beleza;Truss;Leave-in;Uso Obrigatório 260ml;O reconstrutor mais vendido do Brasil.;Borrife no comprimento após o shampoo.;truss bestseller;Profissional
Salão de Beleza;Carrelli;Finalizador;Blindagem de Verniz;Brilho espelhado e antiumidade.;Aplique antes da escova ou prancha.;carrelli regional fortaleza;Regional/Ceará
Estética;Bioage;Sérum;Hyalu Sérum 8D;Hidratação profunda com ácido hialurônico.;3 gotas no rosto limpo, manhã e noite.;bioage bestseller;Profissional
Estética;Adcos;Sérum;Vitamina C 20;Antioxidante para rejuvenescimento facial.;Use antes do protetor solar.;adcos vitc clareador;Premium
Estética;Laborene;Esfoliante;Melancia e Argila;Esfoliante corporal de alta abrasão.;Uso corporal no banho.;laborene regional ceara;Regional/Ceará
Barbearia;Youman;Balm;Black Control 120g;Pigmentação gradual para barbas pretas.;Aplique para disfarçar fios brancos.;youman pigmentado barba;Especializado
Barbearia;Youman;Balm;Brown Control 120g;Pigmentação para barbas castanhas.;Realça o tom natural da barba.;youman pigmentado castanho;Especializado
Barbearia;Fox For Men;Pomada;Matte Clay;Efeito seco e opaco com alta fixação.;Espalhe bem nas mãos e aplique no cabelo seco.;foxformen matte opaca;Bestseller
Barbearia;Fox For Men;Pomada;Web Wax (Efeito Teia);Textura e volume para penteados desestruturados.;Bata as mãos sobre o cabelo para ativar as fibras.;foxformen teia volume;Bestseller
Barbearia;Fox For Men;Pomada;Water Soluble (Brilho);Acabamento brilhante e clássico.;Ideal para penteados clássicos molhados.;foxformen brilho classic;Profissional
Barbearia;Fox For Men;Pomada;Silver (Efeito Prata);Pigmentação temporária prateada/grisalha.;Aplique para um visual platinado imediato.;foxformen pigmentada prata;Fashion
Barbearia;Fox For Men;Pomada;Black (Efeito Preto);Cobre fios brancos e realça o preto.;Use para finalizar e esconder falhas.;foxformen pigmentada preta;Especializado
Barbearia;Fox For Men;Pomada;Caramelo;Fixação forte com fragrância exclusiva.;Ótima para penteados altos e estruturados.;foxformen fixação forte;Profissional
Barbearia;Fox For Men;Pomada;Strong Hold (Brilho Moderado);Fixação extra forte para penteados estruturados.;Aplique em pequenas quantidades até o efeito desejado.;foxformen strong extra;Profissional
Barbearia;Bandido;Cera;Fiber Wax 7;"Cera de fibras para estilo ""bagunçado"".";Aplique nos fios secos modelando com os dedos.;bandido fiber 7;Econômico
Barbearia;Bandido;Cera;Army Gum Effect;Fixação ultra forte com brilho moderado.;Ideal para topetes que exigem durabilidade.;bandido army forte;Econômico
Barbearia;Knuckst;Pomada;Matte High Hold;Fixação extrema com toque seco.;Aplique uma pequena quantidade e modele rápido.;knuckst forte matte;Premium
Barbearia;Don Alcides;Óleo;Barba Negra 30ml;Hidratação extrema com aroma cítrico.;3 a 5 gotas na palma da mão.;don alcides barbanegra;Profissional
Barbearia;Barba Forte;Pomada;Killer 150g;A pomada mais forte da linha Barba Forte.;Use para penteados que precisam durar o dia todo.;barba forte killer;Profissional
Estética;Bioage;Sérum;Vitamina C Bioage;Antioxidante potente para uniformizar a pele;Aplicar pela manhã antes do protetor solar;vitamina c, antioxidante, clareador;Profissional
Estética;Adcos;Sérum;Hyalu 6+;Hidratação profunda com ácido hialurônico;Usar 2x ao dia com a pele limpa;hidratacao, anti-idade, hialuronico;Premium
Estética;Adcos;Protetor Solar;Fluid FPS 99;Alta proteção solar com toque seco;Aplicar pela manhã e reaplicar ao longo do dia;protetor solar, fps alto, oleosidade;Premium
Estética;Bioage;Protetor Solar;Bioage FPS 60;Proteção diária com ativos hidratantes;Usar diariamente após skincare;protetor, hidratacao, skincare;Profissional
Estética;Cosmobeauty;Sérum;Clareador Facial;Reduz manchas e uniformiza o tom da pele;Aplicar à noite nas áreas desejadas;clareador, manchas, tratamento;Profissional
Estética;Mezzo;Sérum;Ácido Hialurônico;Hidratação intensa e efeito preenchedor;Aplicar antes do hidratante;hidratacao, preenchimento, pele;Profissional
Estética;Samana;Máscara;Máscara Calmante;Reduz vermelhidão e acalma a pele;Usar após procedimentos estéticos;calmante, pos-procedimento;Profissional
Estética;Tulípia;Gel;Gel Secativo Acne;Controle de oleosidade e acne;Aplicar diretamente sobre a acne;acne, oleosidade, secativo;Profissional
Estética;La Roche-Posay;Sérum;Effaclar Ultra Concentrado;Tratamento intensivo para acne e poros;Usar à noite com pele limpa;acne, oleosidade, tratamento;Premium
Estética;Vichy;Sérum;Minéral 89;Fortalecedor da barreira da pele;Aplicar antes do hidratante;hidratacao, fortalecimento, pele;Premium
Estética;Adcos;Creme;Creme Clareador;Tratamento para manchas e melasma;Usar à noite com orientação;melasma, manchas, clareador;Premium
Estética;Bioage;Gel;Gel de Limpeza Facial;Limpeza profunda sem ressecar a pele;Usar manhã e noite;limpeza, skincare, rotina;Profissional
Estética;Cosmobeauty;Tônico;Tônico Facial;Equilibra o pH da pele;Aplicar após limpeza;tonico, equilibrio, pele;Profissional
Estética;Mezzo;Creme;Hidratante Facial;Hidratação intensa e recuperação da pele;Usar após sérum;hidratante, pele seca, cuidado;Profissional
Estética;Samana;Esfoliante;Esfoliante Facial;Remove células mortas e renova a pele;Usar 1 a 2 vezes por semana;esfoliante, renovacao, pele;Profissional
Estética;Tulípia;Máscara;Máscara de Argila;Controle de oleosidade e limpeza profunda;Aplicar 1x por semana;oleosidade, limpeza, argila;Profissional
